iter	Logloss
0	0.6894229069
1	0.6824467996
2	0.6785825819
3	0.6721207167
4	0.6655250288
5	0.6596288199
6	0.6532835763
7	0.6474562846
8	0.6417845527
9	0.6386661326
10	0.6332943501
11	0.6279447268
12	0.6224018614
13	0.6174838303
14	0.6132056443
15	0.6085995628
16	0.6036320099
17	0.5989838357
18	0.5942768085
19	0.58952277
20	0.5847381485
21	0.5806419026
22	0.5760601627
23	0.5717227668
24	0.5678516586
25	0.5651105692
26	0.5610090037
27	0.5572048986
28	0.5552791868
29	0.5524071095
30	0.5487657337
31	0.5448753726
32	0.5413810204
33	0.5389227236
34	0.5354552734
35	0.5330746188
36	0.529844942
37	0.5267475907
38	0.5239904587
39	0.5209823971
40	0.5175456983
41	0.5141977205
42	0.5110856359
43	0.508454662
44	0.5054624446
45	0.5026318328
46	0.5002388405
47	0.4982382624
48	0.4952830245
49	0.4935447415
50	0.4908582481
51	0.4896696862
52	0.487135407
53	0.4853212284
54	0.4836503922
55	0.4814161357
56	0.4791493911
57	0.4768848743
58	0.4746684398
59	0.4730631043
60	0.4708402516
61	0.4686969591
62	0.4668529674
63	0.4649014095
64	0.463226126
65	0.4613337382
66	0.4595056387
67	0.4578687904
68	0.4565542551
69	0.4548395813
70	0.4532454576
71	0.4516052067
72	0.4497183213
73	0.4489646885
74	0.4471278112
75	0.4464764475
76	0.4445380352
77	0.4434132166
78	0.4418476655
79	0.4404533319
80	0.4393635656
81	0.4378905087
82	0.4366498602
83	0.4361003981
84	0.4349111378
85	0.4336042425
86	0.4320995712
87	0.4304867069
88	0.4291538585
89	0.4279596143
90	0.4268235067
91	0.4254250374
92	0.4239178239
93	0.4226163493
94	0.4217271877
95	0.4204755296
96	0.4193234508
97	0.4181838453
98	0.4168082242
99	0.4157452772
100	0.4144528172
101	0.4133981501
102	0.4123548362
103	0.4113278198
104	0.4103384967
105	0.4094446687
106	0.4084715327
107	0.408050205
108	0.4072470449
109	0.4063408517
110	0.4052517958
111	0.4043940982
112	0.4033445033
113	0.4027574422
114	0.4018590923
115	0.4008666226
116	0.4000431911
117	0.3997006841
118	0.3988932172
119	0.3979870115
120	0.3972161216
121	0.396693757
122	0.3959614101
123	0.3954314596
124	0.3949303838
125	0.3941105868
126	0.3933569209
127	0.3926299465
128	0.3923812998
129	0.3916499226
130	0.3908688461
131	0.390371202
132	0.3897057663
133	0.389067153
134	0.3888881922
135	0.3883397827
136	0.3881099063
137	0.3877520261
138	0.3871720972
139	0.3867365641
140	0.3860148889
141	0.3854316777
142	0.3849540859
143	0.3843602711
144	0.3837761893
145	0.383591269
146	0.383238009
147	0.3827475934
148	0.3825370175
149	0.3823717164
150	0.3819586249
151	0.3815522389
152	0.3809229329
153	0.3803959496
154	0.3799913173
155	0.3797879152
156	0.3790859435
157	0.3785038423
158	0.3781204487
159	0.3775429234
160	0.3773243953
161	0.3767169329
162	0.3765542717
163	0.3764498932
164	0.3759758495
165	0.3756057472
166	0.3751981203
167	0.3750521735
168	0.3744958305
169	0.3738211511
170	0.3732910247
171	0.372865182
172	0.3727563257
173	0.3724614653
174	0.3720911774
175	0.37174004
176	0.3710919032
177	0.3707789379
178	0.3704481143
179	0.3701893271
180	0.3700245287
181	0.3697842111
182	0.3694002892
183	0.3688320618
184	0.36852967
185	0.3681426271
186	0.3676971084
187	0.3674105227
188	0.3671119052
189	0.3669387933
190	0.3665264097
191	0.3661447171
192	0.3658875967
193	0.3654815509
194	0.3646683312
195	0.3641151974
196	0.3637940023
197	0.3634874585
198	0.3630920081
199	0.3630319634
200	0.3627810232
201	0.3622242445
202	0.3619880465
203	0.3617373013
204	0.3614385419
205	0.3613115216
206	0.3612120697
207	0.3605611853
208	0.3603016465
209	0.3599930046
210	0.359924638
211	0.3595243391
212	0.3592938791
213	0.3590544255
214	0.3587820558
215	0.3584389382
216	0.3579217321
217	0.3575405119
218	0.3573257148
219	0.3572262354
220	0.3571032278
221	0.3567824708
222	0.3564962352
223	0.3563235597
224	0.3560545353
225	0.3554737833
226	0.3551600921
227	0.3548897892
228	0.3545131267
229	0.3542954413
230	0.35402495
231	0.3535303727
232	0.3530393793
233	0.3529355357
234	0.3525617541
235	0.3521698886
236	0.3519080791
237	0.3516217585
238	0.3513364382
239	0.3510475576
240	0.3508623052
241	0.3505656
242	0.3503151226
243	0.3500188622
244	0.3498615729
245	0.349543694
246	0.3494882872
247	0.34941126
248	0.3493872011
249	0.349268713
250	0.3492293272
251	0.349048608
252	0.3487117312
253	0.3484857399
254	0.3482464196
255	0.3478787706
256	0.3477014066
257	0.3474514631
258	0.3471891724
259	0.3471025371
260	0.3467469903
261	0.3464984691
262	0.3462475575
263	0.3458504762
264	0.3456892374
265	0.3454513763
266	0.3450870912
267	0.3448586339
268	0.3446117287
269	0.3443173911
270	0.3442363564
271	0.3440030188
272	0.3439093854
273	0.3438054337
274	0.3434887907
275	0.3431933491
276	0.3430174971
277	0.3428147055
278	0.3425529245
279	0.3423957334
280	0.342088014
281	0.341826813
282	0.341811528
283	0.3416627354
284	0.3414004226
285	0.341225799
286	0.3410083128
287	0.340964801
288	0.3407933859
289	0.3405061056
290	0.3403875586
291	0.3402953524
292	0.3401204148
293	0.3399160472
294	0.3397204735
295	0.3395323241
296	0.339409294
297	0.3392466433
298	0.3390837158
299	0.3390715745
300	0.3389569747
301	0.3387653771
302	0.3385137546
303	0.338159887
304	0.3379914562
305	0.3376492017
306	0.3375464677
307	0.3374136431
308	0.3373170101
309	0.337080395
310	0.3368773732
311	0.3366972985
312	0.3363842174
313	0.3363016932
314	0.3361690613
315	0.3360714599
316	0.3358840121
317	0.3356942617
318	0.3356564046
319	0.3354542347
320	0.3353466724
321	0.3353384254
322	0.3352563215
323	0.3350133873
324	0.3347869382
325	0.3344910829
326	0.3342759701
327	0.3341448466
328	0.3339550913
329	0.3337112461
330	0.3335563469
331	0.3333923403
332	0.3331963079
333	0.3328092055
334	0.3325354335
335	0.3323880395
336	0.3322090801
337	0.3320318359
338	0.3319424461
339	0.3315599784
340	0.3314560623
341	0.3313002243
342	0.3311848311
343	0.3311201236
344	0.3310674645
345	0.3308478813
346	0.3306331587
347	0.3305102351
348	0.3304421255
349	0.3301754109
350	0.3300158309
351	0.3298100605
352	0.3297053249
353	0.3294166725
354	0.3293183826
355	0.3293110613
356	0.3291988842
357	0.3290423008
358	0.3289747778
359	0.3287519493
360	0.3286192601
361	0.3285781783
362	0.3283948517
363	0.3283514236
364	0.3281017478
365	0.3278054714
366	0.3277540531
367	0.3275785678
368	0.3275224367
369	0.32744247
370	0.3272738914
371	0.3270020941
372	0.3268769984
373	0.3268156791
374	0.3267100753
375	0.3265844293
376	0.3263609785
377	0.3260565695
378	0.3256881616
379	0.3254098112
380	0.325304449
381	0.3251492753
382	0.3250555144
383	0.3250053976
384	0.3248829083
385	0.3246679111
386	0.324663742
387	0.3244338297
388	0.3243326531
389	0.3242792198
390	0.3240098513
391	0.3239600232
392	0.323829012
393	0.3235256788
394	0.3233000058
395	0.3231984616
396	0.3230985757
397	0.322922802
398	0.3227199792
399	0.322550938
400	0.3224989377
401	0.322425975
402	0.3223659243
403	0.3221036202
404	0.322024543
405	0.3218193884
406	0.321660336
407	0.3215282667
408	0.3213536722
409	0.3212001143
410	0.3210983473
411	0.3209406741
412	0.3207697263
413	0.3207420392
414	0.3204941341
415	0.3204627376
416	0.3203440317
417	0.3201429303
418	0.3200174187
419	0.3199045932
420	0.3196336249
421	0.3193227824
422	0.3192053976
423	0.3190578262
424	0.3189536743
425	0.3189352766
426	0.3187940098
427	0.3187024174
428	0.3185148414
429	0.3184515079
430	0.3182687049
431	0.3182450596
432	0.3181208435
433	0.317958622
434	0.3179310036
435	0.3177336536
436	0.3175354083
437	0.317331901
438	0.3171658064
439	0.3170269825
440	0.3167159611
441	0.3166955598
442	0.3163756343
443	0.3162500181
444	0.316003803
445	0.3158375356
446	0.3156852919
447	0.3154577418
448	0.3153990872
449	0.3150843534
450	0.3149953929
451	0.3149381347
452	0.3147219751
453	0.3144864313
454	0.3144096178
455	0.314331917
456	0.3142730986
457	0.3141235261
458	0.3140384056
459	0.3139230754
460	0.3138459774
461	0.3137585315
462	0.313478128
463	0.3133756398
464	0.3132297295
465	0.3131004976
466	0.3129476753
467	0.3129459686
468	0.312905802
469	0.3127658185
470	0.3126775404
471	0.3126042377
472	0.312497639
473	0.3123995514
474	0.3123025845
475	0.3121669896
476	0.3120380432
477	0.3119492871
478	0.3116494729
479	0.3114785376
480	0.3114133312
481	0.3112417767
482	0.3109926101
483	0.310837384
484	0.3106262345
485	0.3105545464
486	0.3104722758
487	0.3103056867
488	0.3102169621
489	0.3100541709
490	0.3100162161
491	0.3098955662
492	0.3098503643
493	0.3097868373
494	0.3096622736
495	0.3096165301
496	0.3095390758
497	0.3092611634
498	0.3090012192
499	0.3088600996
500	0.3088474901
501	0.3087668903
502	0.3087251941
503	0.3085954318
504	0.3085248996
505	0.3084525493
506	0.3082809609
507	0.3080847619
508	0.3078399343
509	0.3077866785
510	0.3077329857
511	0.3076377019
512	0.3075799736
513	0.3075647692
514	0.3073713376
515	0.3072675765
516	0.3071931029
517	0.3071125903
518	0.3069960551
519	0.3068030999
520	0.3066639567
521	0.3063856066
522	0.3062983166
523	0.3062081673
524	0.3059662711
525	0.3056855534
526	0.3056086512
527	0.3055059809
528	0.3053904731
529	0.3051971094
530	0.3050505087
531	0.3048909279
532	0.3047605028
533	0.3047369415
534	0.304473773
535	0.3044395458
536	0.3043122239
537	0.3042136056
538	0.304123048
539	0.3040410035
540	0.3039013338
541	0.3037839989
542	0.3036237619
543	0.3034745654
544	0.3034381882
545	0.303304677
546	0.3032054927
547	0.3031184033
548	0.3029190176
549	0.3027453317
550	0.3026863928
551	0.3026299098
552	0.3025079745
553	0.3024374952
554	0.3023550341
555	0.3023068402
556	0.3021588752
557	0.3020480635
558	0.3018770273
559	0.301697576
560	0.3016531816
561	0.3013842912
562	0.301307921
563	0.301180807
564	0.3009942108
565	0.3008759753
566	0.3007558349
567	0.3006566688
568	0.3005811559
569	0.3005313067
570	0.3004421566
571	0.3002961327
572	0.3001329962
573	0.3000819096
574	0.2999131562
575	0.2998260332
576	0.2997922501
577	0.299781091
578	0.299777015
579	0.299725616
580	0.2994965542
581	0.2993681335
582	0.2993469247
583	0.2992902471
584	0.2992210924
