iter	Passed	Remaining
0	52	52389
1	54	27403
2	56	18661
3	58	14463
4	60	11971
5	61	10256
6	63	9071
7	65	8115
8	66	7371
9	67	6708
10	69	6238
11	70	5810
12	72	5473
13	73	5157
14	74	4881
15	76	4677
16	78	4529
17	80	4365
18	81	4218
19	83	4076
20	84	3958
21	86	3845
22	88	3755
23	91	3701
24	92	3590
25	98	3701
26	111	4012
27	116	4043
28	117	3948
29	120	3901
30	123	3866
31	126	3836
32	128	3769
33	129	3687
34	131	3629
35	133	3569
36	135	3522
37	137	3474
38	138	3423
39	140	3373
40	142	3323
41	143	3279
42	145	3234
43	147	3195
44	148	3157
45	151	3140
46	153	3109
47	155	3084
48	157	3056
49	160	3043
50	165	3080
51	167	3055
52	169	3032
53	170	2991
54	172	2961
55	174	2935
56	175	2909
57	177	2881
58	179	2862
59	180	2830
60	182	2808
61	184	2789
62	186	2769
63	187	2746
64	189	2725
65	191	2705
66	193	2689
67	195	2675
68	196	2647
69	197	2628
70	199	2610
71	201	2593
72	203	2585
73	208	2614
74	213	2628
75	214	2603
76	216	2590
77	217	2570
78	219	2555
79	220	2538
80	222	2524
81	224	2510
82	226	2499
83	227	2475
84	229	2473
85	232	2465
86	234	2458
87	236	2449
88	237	2435
89	240	2428
90	242	2420
91	244	2410
92	246	2404
93	251	2421
94	255	2430
95	258	2438
96	261	2436
97	265	2440
98	267	2433
99	269	2423
100	271	2417
101	273	2408
102	275	2399
103	277	2392
104	279	2383
105	281	2375
106	283	2367
107	284	2353
108	287	2348
109	289	2342
110	291	2335
111	294	2335
112	297	2336
113	299	2326
114	301	2323
115	304	2320
116	307	2321
117	308	2308
118	310	2301
119	312	2295
120	315	2290
121	317	2281
122	319	2276
123	320	2265
124	322	2254
125	324	2247
126	325	2240
127	327	2233
128	329	2221
129	331	2217
130	334	2215
131	336	2212
132	338	2208
133	343	2217
134	345	2215
135	348	2213
136	349	2202
137	350	2191
138	353	2187
139	355	2182
140	357	2177
141	360	2176
142	362	2172
143	364	2168
144	367	2164
145	368	2153
146	370	2148
147	372	2142
148	374	2137
149	375	2130
150	378	2125
151	380	2121
152	383	2120
153	389	2141
154	392	2141
155	394	2133
156	398	2142
157	402	2143
158	405	2144
159	407	2140
160	408	2130
161	410	2125
162	412	2116
163	413	2105
164	415	2100
165	416	2094
166	418	2089
167	420	2081
168	422	2077
169	424	2074
170	427	2074
171	433	2087
172	435	2083
173	441	2094
174	443	2090
175	445	2087
176	448	2083
177	450	2080
178	454	2084
179	456	2081
180	459	2077
181	461	2073
182	463	2069
183	466	2066
184	468	2061
185	470	2057
186	473	2057
187	478	2065
188	482	2071
189	484	2067
190	487	2065
191	489	2061
192	491	2056
193	493	2052
194	496	2048
195	498	2046
196	501	2044
197	503	2041
198	506	2037
199	507	2029
200	509	2025
201	511	2020
202	513	2015
203	515	2012
204	518	2011
205	522	2013
206	524	2010
207	527	2007
208	529	2005
209	531	2000
210	533	1993
211	535	1988
212	537	1984
213	539	1980
214	541	1976
215	543	1972
216	545	1968
217	547	1964
218	549	1960
219	551	1955
220	552	1949
221	554	1944
222	557	1941
223	561	1944
224	572	1973
225	577	1978
226	580	1975
227	582	1972
228	584	1969
229	587	1966
230	589	1962
231	591	1958
232	593	1954
233	595	1949
234	597	1945
235	599	1940
236	601	1937
237	604	1933
238	605	1929
239	608	1925
240	611	1925
241	614	1925
242	617	1924
243	620	1923
244	623	1922
245	628	1927
246	630	1921
247	632	1919
248	637	1923
249	640	1921
250	641	1913
251	643	1909
252	645	1906
253	648	1903
254	650	1899
255	652	1896
256	655	1896
257	661	1903
258	664	1900
259	667	1899
260	669	1895
261	673	1897
262	678	1900
263	681	1899
264	683	1895
265	685	1891
266	689	1894
267	693	1893
268	695	1888
269	697	1886
270	699	1881
271	703	1883
272	707	1884
273	711	1884
274	713	1880
275	715	1877
276	718	1874
277	720	1871
278	722	1867
279	724	1864
280	727	1860
281	729	1856
282	730	1849
283	732	1845
284	734	1841
285	736	1838
286	738	1834
287	739	1829
288	742	1826
289	747	1830
290	751	1831
291	755	1832
292	758	1829
293	761	1828
294	763	1824
295	766	1822
296	768	1819
297	770	1815
298	772	1812
299	773	1805
300	775	1801
301	777	1798
302	780	1794
303	784	1795
304	787	1795
305	791	1794
306	793	1790
307	797	1792
308	800	1790
309	802	1786
310	805	1783
311	807	1780
312	810	1778
313	811	1772
314	813	1768
315	814	1763
316	816	1759
317	818	1755
318	820	1751
319	822	1748
320	824	1744
321	825	1738
322	828	1736
323	832	1736
324	836	1737
325	839	1734
326	841	1731
327	843	1728
328	845	1724
329	847	1721
330	850	1718
331	855	1720
332	857	1717
333	859	1713
334	861	1709
335	863	1705
336	866	1705
337	869	1703
338	870	1698
339	873	1695
340	876	1694
341	883	1699
342	886	1697
343	888	1695
344	890	1690
345	895	1691
346	897	1688
347	899	1684
348	901	1681
349	903	1677
350	905	1673
351	906	1669
352	909	1666
353	911	1662
354	913	1660
355	914	1655
356	917	1652
357	921	1652
358	929	1659
359	934	1661
360	937	1658
361	939	1655
362	942	1654
363	944	1650
364	946	1647
365	949	1643
366	950	1639
367	952	1635
368	953	1630
369	955	1627
370	957	1624
371	960	1620
372	962	1617
373	964	1615
374	970	1616
375	973	1616
376	976	1613
377	979	1611
378	981	1608
379	983	1605
380	986	1602
381	988	1599
382	991	1596
383	993	1593
384	995	1589
385	997	1586
386	998	1581
387	1000	1577
388	1003	1575
389	1005	1572
390	1007	1569
391	1009	1566
392	1014	1567
393	1018	1566
394	1021	1565
395	1024	1563
396	1027	1560
397	1029	1557
398	1031	1554
399	1034	1551
400	1036	1548
401	1038	1544
402	1042	1543
403	1044	1541
404	1047	1538
405	1049	1535
406	1051	1531
407	1054	1529
408	1058	1529
409	1061	1527
410	1064	1525
411	1066	1522
412	1069	1519
413	1070	1515
414	1072	1512
415	1074	1507
416	1076	1505
417	1078	1501
418	1082	1500
419	1084	1497
420	1086	1493
421	1088	1490
422	1090	1487
423	1092	1484
424	1094	1481
425	1097	1479
426	1103	1481
427	1108	1480
428	1111	1478
429	1113	1475
430	1115	1472
431	1117	1468
432	1119	1465
433	1121	1462
434	1122	1458
435	1125	1455
436	1127	1452
437	1130	1449
438	1132	1446
439	1134	1443
440	1136	1440
441	1139	1437
442	1141	1435
443	1143	1432
444	1147	1431
445	1150	1429
446	1153	1426
447	1158	1427
448	1160	1424
449	1162	1421
450	1165	1418
451	1167	1415
452	1170	1412
453	1184	1424
454	1186	1421
455	1189	1419
456	1194	1419
457	1199	1419
458	1202	1417
459	1204	1414
460	1207	1411
461	1209	1408
462	1211	1405
463	1214	1402
464	1217	1400
465	1220	1398
466	1222	1394
467	1223	1390
468	1225	1386
469	1227	1383
470	1229	1381
471	1232	1378
472	1234	1375
473	1237	1373
474	1241	1372
475	1244	1369
476	1246	1367
477	1249	1364
478	1251	1361
479	1253	1358
480	1255	1355
481	1258	1352
482	1260	1349
483	1263	1347
484	1265	1344
485	1267	1340
486	1269	1337
487	1272	1334
488	1275	1332
489	1277	1329
490	1278	1325
491	1281	1322
492	1284	1320
493	1288	1319
494	1291	1317
495	1294	1315
496	1296	1311
497	1298	1308
498	1300	1305
499	1302	1302
500	1304	1298
501	1306	1295
502	1308	1292
503	1310	1289
504	1313	1287
505	1315	1284
506	1317	1281
507	1320	1278
508	1322	1275
509	1324	1272
510	1327	1270
511	1331	1269
512	1334	1267
513	1336	1263
514	1338	1260
515	1341	1258
516	1343	1255
517	1346	1252
518	1349	1250
519	1351	1247
520	1354	1245
521	1356	1242
522	1358	1239
523	1360	1236
524	1362	1233
525	1365	1230
526	1367	1227
527	1369	1224
528	1372	1222
529	1377	1221
