iter	RMSE
0	0.9174196719
1	0.8839029967
2	0.8670330802
3	0.8569145481
4	0.8501521565
5	0.845286713
6	0.8421272894
7	0.8392556515
8	0.8376243532
9	0.8343795191
10	0.831292584
11	0.8278662416
12	0.8260623653
13	0.8245229946
14	0.8233616608
15	0.8200572422
16	0.8183349146
17	0.8161901217
18	0.8139989871
19	0.812776249
20	0.8107865886
21	0.80884838
22	0.8064281865
23	0.8050519794
24	0.8036865817
25	0.8027461583
26	0.8014868939
27	0.7997116691
28	0.7980468673
29	0.7970346836
30	0.7952595295
31	0.7941146966
32	0.7929365383
33	0.7917093597
34	0.7903105251
35	0.7886188891
36	0.7873779051
37	0.7857821886
38	0.7848926758
39	0.7834248913
40	0.7807914321
41	0.7797394101
42	0.7785297312
43	0.7778307612
44	0.7769458034
45	0.7754689607
46	0.7744732781
47	0.7731798114
48	0.7713957105
49	0.7706161536
50	0.7698835233
51	0.7686845493
52	0.7677621327
53	0.7670495089
54	0.7658187166
55	0.7650454742
56	0.7637590429
57	0.7631652682
58	0.7624879436
59	0.7612464195
60	0.7603273406
61	0.7593174083
62	0.7581290666
63	0.7572990213
64	0.7556015698
65	0.7544028495
66	0.7537286001
67	0.7527869101
68	0.7513300075
69	0.7507020322
70	0.7493979815
71	0.7486272916
72	0.7479399845
73	0.7471163324
74	0.7459113003
75	0.7447405619
76	0.7438919546
77	0.743145502
78	0.7425531243
79	0.7415092604
80	0.740578425
81	0.7393536305
82	0.7385812845
83	0.7378280175
84	0.7370884783
85	0.7362483603
86	0.7350491479
87	0.7344017893
88	0.7336326611
89	0.7330405128
90	0.7319227315
91	0.730801513
92	0.72974487
93	0.7291867962
94	0.7286777099
95	0.7277417439
96	0.7268875416
97	0.7257684936
98	0.7251482757
99	0.72415214
