iter	Passed	Remaining
0	156	15477
1	161	7935
2	166	5396
3	171	4114
4	178	3394
5	185	2898
6	190	2529
7	197	2275
8	204	2063
9	209	1888
10	213	1730
11	219	1611
12	227	1519
13	234	1439
14	240	1364
15	245	1287
16	252	1234
17	259	1181
18	267	1139
19	273	1094
20	281	1058
21	288	1021
22	295	990
23	300	952
24	308	925
25	313	893
26	319	862
27	325	837
28	331	812
29	339	792
30	344	766
31	349	742
32	361	733
33	370	719
34	375	697
35	383	681
36	388	662
37	394	644
38	401	627
39	405	607
40	409	589
41	416	574
42	436	578
43	440	561
44	446	545
45	452	531
46	459	518
47	468	508
48	477	496
49	483	483
50	489	469
51	496	458
52	503	446
53	508	432
54	514	421
55	523	411
56	527	398
57	534	387
58	540	375
59	547	364
60	553	353
61	558	342
62	563	331
63	569	320
64	575	309
65	580	299
66	584	287
67	589	277
68	597	268
69	603	258
70	610	249
71	616	239
72	623	230
73	628	220
74	636	212
75	643	203
76	648	193
77	655	184
78	665	176
79	671	167
80	675	158
81	679	149
82	684	140
83	689	131
84	696	122
85	702	114
86	709	105
87	715	97
88	719	88
89	723	80
90	728	72
91	733	63
92	737	55
93	743	47
94	748	39
95	755	31
96	759	23
97	763	15
98	770	7
99	776	0
